"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:295","District of Columbia","District Of Columbia","No Samples in Last Week","2024-10-21","15641","39.05291069353658","-77.00596077241704","November 17 - November 23, 2024"
"2","ID:2156","Wisconsin","Rock","No Samples in Last Week","2024-10-14","63500","42.76742512355675","-89.18783823038042","November 17 - November 23, 2024"
"3","ID:2348","California","Placer","No Samples in Last Week","2024-10-14","130000","38.651299314806714","-121.36742956264207","November 17 - November 23, 2024"
"4","ID:2124","Wisconsin","Chippewa, Eau Claire","No Samples in Last Week","2024-10-14","77714","44.76040701743169","-91.64172588684136","November 17 - November 23, 2024"
"5","ID:294","District of Columbia","District Of Columbia","No Samples in Last Week","2024-10-21","15099","38.80209891915617","-76.97119555479243","November 17 - November 23, 2024"
"6","ID:292","District of Columbia","District Of Columbia","No Samples in Last Week","2024-10-21","3759","38.903616362880435","-77.11281290107428","November 17 - November 23, 2024"
"7","ID:2140","Wisconsin","Marinette","No Samples in Last Week","2024-10-13","3500","45.165149740285635","-87.73493484009578","November 17 - November 23, 2024"
"8","ID:724","Maine","York","No Samples in Last Week","2024-10-14","16000","43.62655438970218","-70.34434006924032","November 17 - November 23, 2024"
"9","ID:2278","Texas","Jefferson","No Samples in Last Week","2024-10-15","112193","29.9108606133218","-93.96763876098908","November 17 - November 23, 2024"
"10","ID:2164","Wisconsin","Vernon","No Samples in Last Week","2024-10-16","4400","43.47484192659043","-90.8392315023657","November 17 - November 23, 2024"
"11","ID:2129","Wisconsin","Jackson","No Samples in Last Week","2024-10-14","5000","44.15221943395398","-90.73527963301038","November 17 - November 23, 2024"
"12","ID:2275","Texas","Hardin","No Samples in Last Week","2024-10-15","34000","30.13286710324379","-94.08764745985495","November 17 - November 23, 2024"
"13","ID:299","District of Columbia","District Of Columbia","No Samples in Last Week","2024-10-21","37264","38.69781164427063","-76.91496301395122","November 17 - November 23, 2024"
"14","ID:2133","Wisconsin","La Crosse","No Samples in Last Week","2024-10-14","85000","43.72541834622129","-91.07900609783887","November 17 - November 23, 2024"
"15","ID:694","Maine","Androscoggin","No Samples in Last Week","2024-10-15","60000","43.98153769608182","-70.18663715190807","November 17 - November 23, 2024"
"16","ID:1849","Texas","Dallas","No Samples in Last Week","2024-10-15","1000000","32.75388138545211","-96.77597696343435","November 17 - November 23, 2024"
"17","ID:2108","Wisconsin","Kewaunee, Brown","No Samples in Last Week","2024-10-14","189000","44.482906127806075","-87.84962087833712","November 17 - November 23, 2024"
"18","ID:1821","South Carolina","Horry","No Samples in Last Week","2024-10-16","12000","33.79209000147662","-78.88755081875581","November 17 - November 23, 2024"
"19","ID:2132","Wisconsin","Kenosha","No Samples in Last Week","2024-10-14","122000","42.67733409342464","-87.70494943468638","November 17 - November 23, 2024"
"20","ID:557","Kansas","Wyandotte","No Samples in Last Week","2024-10-15","15000","39.10726009465528","-94.74930597152503","November 17 - November 23, 2024"
"21","ID:2141","Wisconsin","Milwaukee, Ozaukee","No Samples in Last Week","2024-10-13","470007","42.99576597450473","-87.76129863070076","November 17 - November 23, 2024"
"22","ID:2178","Wisconsin","Marathon, Wood","No Samples in Last Week","2024-10-14","19300","44.568491256125775","-90.12326781418244","November 17 - November 23, 2024"
"23","ID:2167","Wisconsin","Walworth","No Samples in Last Week","2024-10-14","30000","42.70687555641464","-88.76997105016858","November 17 - November 23, 2024"
"24","ID:2122","Wisconsin","Douglas","No Samples in Last Week","2024-10-13","28000","46.65155293975206","-92.01356639822106","November 17 - November 23, 2024"
"25","ID:2177","Wisconsin","Winnebago","No Samples in Last Week","2024-10-14","78300","43.8570753914498","-88.57365535264047","November 17 - November 23, 2024"
