"","Sewershed_ID","State/Territory","Counties_Served","Detection_Category","Date_the_Site_Began_Sampling_Data","Population_Served","latitude","longitude","time.period"
"1","ID:2295","Louisiana","Saint Bernard","No Samples in Last Week","2025-01-06","45000","29.93614318319539","-89.91286850138518","March 16 - March 22, 2025"
"2","ID:681","Louisiana","Saint Tammany","No Samples in Last Week","2025-03-05","10000","30.272745568035344","-89.72567316391229","March 16 - March 22, 2025"
"3","ID:598","Louisiana","Calcasieu","No Samples in Last Week","2025-01-05","36720","30.259060560764173","-93.266157726009","March 16 - March 22, 2025"
"4","ID:2218","Louisiana","La Salle","No Samples in Last Week","2025-01-06","4146","31.67310989714835","-92.1251996515457","March 16 - March 22, 2025"
"5","ID:33","Arizona","Pima","No Samples in Last Week","2024-11-05","347900","32.24081814536064","-111.0304103399956","March 16 - March 22, 2025"
"6","ID:17","Arizona","La Paz","No Samples in Last Week","2024-11-13","3500","33.65683005356325","-114.22944406315845","March 16 - March 22, 2025"
"7","ID:135","California","Orange","No Samples in Last Week","2024-11-17","1800000","33.710674211337704","-117.95103638026383","March 16 - March 22, 2025"
"8","ID:2408","Arizona","La Paz","No Samples in Last Week","2024-11-04","3400","34.16895405035854","-114.26304142889322","March 16 - March 22, 2025"
"9","ID:32","Arizona","Mohave","No Samples in Last Week","2024-11-25","37500","34.488223693724535","-114.33550646236706","March 16 - March 22, 2025"
"10","ID:172","California","Santa Barbara","No Samples in Last Week","2024-11-21","77600","34.42807970923556","-119.6817379372061","March 16 - March 22, 2025"
"11","ID:2297","Arizona","Coconino","No Samples in Last Week","2024-11-03","46000","35.21387328546006","-111.66437117659262","March 16 - March 22, 2025"
"12","ID:1462","North Carolina","Forsyth","No Samples in Last Week","2024-04-09","178000","36.10982772583666","-80.3345571566758","March 16 - March 22, 2025"
"13","ID:102","California","Fresno","No Samples in Last Week","2024-12-22","650000","36.70926211620536","-119.8134162559426","March 16 - March 22, 2025"
"14","ID:157","California","San Joaquin","No Samples in Last Week","2024-10-08","29000","37.768691727016765","-121.55295460893876","March 16 - March 22, 2025"
"15","ID:152","California","San Francisco, San Mateo","No Samples in Last Week","2024-11-26","66446","37.76903859991779","-122.38529717575359","March 16 - March 22, 2025"
"16","ID:98","California","Contra Costa","No Samples in Last Week","2024-11-21","218281","38.00103429038375","-121.81273247068717","March 16 - March 22, 2025"
"17","ID:111","California","Lake","No Samples in Last Week","2024-11-18","13200","38.959180800577236","-122.63626910995072","March 16 - March 22, 2025"
"18","ID:1569","Ohio","Hamilton","No Samples in Last Week","2025-02-23","488000","39.08206","-84.572144","March 16 - March 22, 2025"
"19","ID:1548","Ohio","Fayette","No Samples in Last Week","2025-02-23","14000","39.53732131160582","-83.438811968778","March 16 - March 22, 2025"
"20","ID:1528","Ohio","Butler","No Samples in Last Week","2025-02-23","22000","39.500805866861796","-84.74143075366649","March 16 - March 22, 2025"
"21","ID:1652","Ohio","Pickaway","No Samples in Last Week","2025-02-23","13965","39.59928686176311","-82.93535408923563","March 16 - March 22, 2025"
"22","ID:1546","Ohio","Fairfield","No Samples in Last Week","2025-02-23","24303","39.719900173869185","-82.60408627251455","March 16 - March 22, 2025"
"23","ID:1647","Ohio","Muskingum","No Samples in Last Week","2025-02-23","47500","39.95066180536517","-82.01240109226562","March 16 - March 22, 2025"
"24","ID:1598","Ohio","Jefferson","No Samples in Last Week","2025-02-23","17864","40.37132370796064","-80.63443677865087","March 16 - March 22, 2025"
"25","ID:1601","Ohio","Knox","No Samples in Last Week","2025-02-23","7000","40.34985873955103","-82.51211117876183","March 16 - March 22, 2025"
"26","ID:1682","Ohio","Tuscarawas","No Samples in Last Week","2025-02-23","13572","40.53521702447445","-81.4801857597206","March 16 - March 22, 2025"
"27","ID:1508","Ohio","Allen","No Samples in Last Week","2025-02-23","61000","40.72911331882058","-84.07216231955749","March 16 - March 22, 2025"
"28","ID:1657","Ohio","Portage","No Samples in Last Week","2025-02-19","29000","41.14706381859925","-81.35179838870111","March 16 - March 22, 2025"
"29","ID:1589","Ohio","Hancock","No Samples in Last Week","2025-02-23","41273","41.04594145107313","-83.64026555346899","March 16 - March 22, 2025"
"30","ID:1540","Ohio","Cuyahoga","No Samples in Last Week","2025-02-23","524154","41.410044946932125","-81.60346259373516","March 16 - March 22, 2025"
"31","ID:1545","Ohio","Erie","No Samples in Last Week","2025-02-23","55000","41.436959215534124","-82.7080336243937","March 16 - March 22, 2025"
"32","ID:1542","Ohio","Cuyahoga","No Samples in Last Week","2025-02-23","103379","41.501435587837754","-81.67650632064024","March 16 - March 22, 2025"
"33","ID:1649","Ohio","Ottawa","No Samples in Last Week","2025-02-23","7000","41.51660726025192","-82.90176970207602","March 16 - March 22, 2025"
"34","ID:1557","Ohio","Fulton","No Samples in Last Week","2025-02-23","6000","41.52543164611304","-84.30866979206282","March 16 - March 22, 2025"
"35","ID:1602","Ohio","Lake","No Samples in Last Week","2025-02-23","20000","41.71257953991273","-81.23915647612598","March 16 - March 22, 2025"
